"","id","accession_number","artist","artistRole","artistId","title","dateText","medium","creditLine","year","acquisitionYear","dimensions","width","height","depth","units","inscription","thumbnailCopyright","thumbnailUrl","url"
"32130",56764,"D29499","Turner, Joseph Mallord William","artist",558,"Coast Scene","c.1835–40","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1835",1856,"support: 146 x 103 mm","146","103",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D29/D29499_8.jpg","http://www.tate.org.uk/art/artworks/turner-coast-scene-d29499"
"23999",48611,"D21268","Turner, Joseph Mallord William","artist",558,"Genoa","c.1828","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 179 x 113 mm","179","113",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21268_8.jpg","http://www.tate.org.uk/art/artworks/turner-genoa-d21268"
"26099",50711,"D23374","Turner, Joseph Mallord William","artist",558,"A Church Interior","1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 133 x 91 mm","133","91",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23374_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-church-interior-d23374"
"11929",36481,"D09102","Turner, Joseph Mallord William","artist",558,"A Group of Classical Buildings","c.1812–13","","Accepted by the nation as part of the Turner Bequest 1856","1812",1856,"support: 178 x 110 mm","178","110",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D09/D09102_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-group-of-classical-buildings-d09102"
"13498",38051,"D10676","Turner, Joseph Mallord William","artist",558,"River Scene","c.1815–17","","Accepted by the nation as part of the Turner Bequest 1856","1815",1856,"support: 160 x 112 mm","160","112",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D10/D10676_8.jpg","http://www.tate.org.uk/art/artworks/turner-river-scene-d10676"
"54156",77215,"P78705","Hamilton, Richard","artist",1244,"TiT","2002","Screenprint on paper","Purchased 2003","2002",2003,"support: 890 x 670 mm","890","670",NA,"mm","","© Richard Hamilton 2014. All rights reserved, DACS","http://www.tate.org.uk/art/images/work/P/P78/P78705_8.jpg","http://www.tate.org.uk/art/artworks/hamilton-tit-p78705"
"40884",12402,"N00892","Reynolds, Sir Joshua","artist",444,"Robinetta","c.1786","Oil paint on canvas","Purchased 1871","1786",1871,"support: 749 x 622 mm frame: 1040 x 916 x 88 mm","749","622",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N00/N00892_8.jpg","http://www.tate.org.uk/art/artworks/reynolds-robinetta-n00892"
"54248",81050,"P78909","Law, Bob","artist",1476,"Cross for Me - Kiss for You","2000","Etching on paper","Purchased 2004","2000",2004,"image: 285 x 385 mm","285","385",NA,"mm","","© The estate of Bob Law","http://www.tate.org.uk/art/images/work/P/P78/P78909_8.jpg","http://www.tate.org.uk/art/artworks/law-cross-for-me-kiss-for-you-p78909"
"63650",22711,"T08284","Dance-Holland, Sir Nathaniel","artist",136,"A Goose and Two Headless Men","date not known","Graphite, watercolour and ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1996,"support: 105 x 167 mm frame (Half Royal): 310 x 437 x 25 mm","105","167",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T08/T08284_8.jpg","http://www.tate.org.uk/art/artworks/dance-holland-a-goose-and-two-headless-men-t08284"
"27438",52050,"D24713","Turner, Joseph Mallord William","artist",558,"?Chateau d’Arc","c.1830","Gouache and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 224 x 298 mm","224","298",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D24/D24713_8.jpg","http://www.tate.org.uk/art/artworks/turner-chateau-darc-d24713"
"13154",37707,"D10330","Turner, Joseph Mallord William","artist",558,"The Tower of the Church of St Thomas à Becket, Brightling","1810","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1810",1856,"support: 200 x 325 mm","200","325",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D10/D10330_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-tower-of-the-church-of-st-thomas-a-becket-brightling-d10330"
"55892",12501,"T00308","Richards, Ceri","artist",1836,"The Sculptor in his Studio","1937","Wood, paper, ink, graphite, strip brass and nails","Presented by Sir Colin and Lady Anderson through the Contemporary Art Society 1959","1937",1959,"object: 464 x 432 x 44 mm","464","432",44,"mm","date inscribed","","","http://www.tate.org.uk/art/artworks/richards-the-sculptor-in-his-studio-t00308"
"7505",32043,"D04650","Turner, Joseph Mallord William","artist",558,"Lake Thun, with Distant Alps","1802","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 156 x 201 mm","156","201",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04650_8.jpg","http://www.tate.org.uk/art/artworks/turner-lake-thun-with-distant-alps-d04650"
"36458",61101,"D33932","Turner, Joseph Mallord William","artist",558,"Mountains beside Lake","c.1830–41","Chalk, pen and ink and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 95 x 141 mm","95","141",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D33/D33932_8.jpg","http://www.tate.org.uk/art/artworks/turner-mountains-beside-lake-d33932"
"48091",9046,"P05441","McCartney, Linda","artist",1603,"Mick Jagger","1977","Screenprint on paper","Presented by Rose and Chris Prater 1978","1977",1978,"image: 492 x 333 mm","492","333",NA,"mm","","","","http://www.tate.org.uk/art/artworks/mccartney-mick-jagger-p05441"
"44664",14428,"P01308","Trevelyan, Julian","artist",2065,"Seaside","1936–72","Gouache and intaglio print on paper","Presented by Waddington Galleries through the Institute of Contemporary Prints 1975","1936",1975,"support: 178 x 254 mm","178","254",NA,"mm","date inscribed","© The estate of Julian Trevelyan","http://www.tate.org.uk/art/images/work/P/P01/P01308_8.jpg","http://www.tate.org.uk/art/artworks/trevelyan-seaside-p01308"
"10127",34674,"D07285","Turner, Joseph Mallord William","artist",558,"Blank","c.1808–9","","Accepted by the nation as part of the Turner Bequest 1856","1808",1856,"support: 109 x 186 mm","109","186",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d07285"
"35445",60085,"D32899","Turner, Joseph Mallord William","artist",558,"Buildings, with Distant Alps. ?Campodo [Turner]","1841","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1841",1856,"support: 181 x 111 mm","181","111",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D32/D32899_8.jpg","http://www.tate.org.uk/art/artworks/turner-buildings-with-distant-alps-campodo-turner-d32899"
"44825",11385,"P01469","Pasmore, Victor","artist",1744,"‘When the Curtain Falls’","1974","Intaglio print on paper","Presented by Marlborough Graphics through the Institute of Contemporary Prints 1975","1974",1975,"image: 402 x 403 mm","402","403",NA,"mm","date inscribed","© Tate","http://www.tate.org.uk/art/images/work/P/P01/P01469_8.jpg","http://www.tate.org.uk/art/artworks/pasmore-when-the-curtain-falls-p01469"
"31208",55838,"D28520","Turner, Joseph Mallord William","artist",558,"Braubach and the Marxburg, Looking Downstream","1839","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1839",1856,"support: 100 x 163 mm","100","163",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D28/D28520_8.jpg","http://www.tate.org.uk/art/artworks/turner-braubach-and-the-marxburg-looking-downstream-d28520"
"41380",13844,"N01923","Stevens, Alfred","artist",525,"King Alfred and his Mother","c.1848","Oil paint on wood","Purchased 1903","1848",1903,"support: 343 x 343 mm","343","343",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N01/N01923_8.jpg","http://www.tate.org.uk/art/artworks/stevens-king-alfred-and-his-mother-n01923"
"60794",17143,"T05366","Turner, Joseph Mallord William","after",558,"Portland Isle, Bow and Arrow Castle","1817","Intaglio print on paper","Purchased 1988","1817",1988,"image: 160 x 243 mm","160","243",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T05/T05366_8.jpg","http://www.tate.org.uk/art/artworks/turner-portland-isle-bow-and-arrow-castle-t05366"
"66735",25863,"T11369","British (?) School","artist",2638,"Harvest","1753","Etching and engraving on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","1753",1997,"image: 121 x 82 mm","121","82",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/T/T11/T11369_8.jpg","http://www.tate.org.uk/art/artworks/british-school-harvest-t11369"
"13085",37637,"D10260","Turner, Joseph Mallord William","artist",558,"?The Eddystone Lighthouse in a Storm by a Full Moon","c.1813","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1813",1856,"support: 181 x 228 mm","181","228",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D10/D10260_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-eddystone-lighthouse-in-a-storm-by-a-full-moon-d10260"
"65497",23273,"T10131","Mortimer, John Hamilton","artist",389,"A Sea Monster with Fish","date not known","Graphite and ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 210 x 155 mm","210","155",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10131_8.jpg","http://www.tate.org.uk/art/artworks/mortimer-a-sea-monster-with-fish-t10131"
"3374",27883,"D00468","Turner, Joseph Mallord William","artist",558,"Distant View of Penllyn Castle with Cowbridge in the Foreground; Two Figures with a Horse","1795","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1795",1856,"support: 130 x 205 mm","130","205",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D00/D00468_8.jpg","http://www.tate.org.uk/art/artworks/turner-distant-view-of-penllyn-castle-with-cowbridge-in-the-foreground-two-figures-with-a-d00468"
"26836",51448,"D24111","Turner, Joseph Mallord William","artist",558,"Group of Buildings","c.1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 158 x 106 mm","158","106",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D24/D24111_8.jpg","http://www.tate.org.uk/art/artworks/turner-group-of-buildings-d24111"
"15127",39680,"D12312","Turner, Joseph Mallord William","artist",558,"A River Winding among Hills, Probably in County Durham or Northumberland","1817","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1817",1856,"support: 232 x 328 mm","232","328",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D12/D12312_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-river-winding-among-hills-probably-in-county-durham-or-northumberland-d12312"
"52286",20699,"P20126","Hockney, David","artist",1293,"Number One Chair","1985–6","Lithograph on paper","Presented by the artist 1993","1985",1993,"image: 570 x 480 mm","570","480",NA,"mm","date inscribed","© David Hockney","http://www.tate.org.uk/art/images/work/P/P20/P20126_8.jpg","http://www.tate.org.uk/art/artworks/hockney-number-one-chair-p20126"
"1449",69582,"A01452","Jones, George","artist",300,"[title not known]","date not known","Ink on paper","Presented by the artist's widow 1888","",1888,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A01/A01452_8.jpg","http://www.tate.org.uk/art/artworks/jones-title-not-known-a01452"
"6904",31434,"D04039","Turner, Joseph Mallord William","artist",558,"A Small Sailing Boat","c.1799–1802","Ink and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1799",1856,"support: 215 x 138 mm","215","138",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04039_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-small-sailing-boat-d04039"
"54620",85250,"P79283","Tillmans, Wolfgang","artist",2747,"Aufsicht (dry)","1997","Photograph, colour, Chromogenic print, on paper","Presented by Tate Patrons 2007","1997",2007,"image: 150 x 100 mm","150","100",NA,"mm","","","","http://www.tate.org.uk/art/artworks/tillmans-aufsicht-dry-p79283"
"63055",27251,"T07646","Morris, Desmond","artist",2773,"The Arena","1976","Oil paint on canvas","Presented by John Nadler 2000","1976",2000,"support: 610 x 916 x 18 mm frame: 762 x 1066 x 65 mm","610","916",18,"mm","","© Desmond Morris","http://www.tate.org.uk/art/images/work/T/T07/T07646_8.jpg","http://www.tate.org.uk/art/artworks/morris-the-arena-t07646"
"23053",47661,"D20309","Turner, Joseph Mallord William","artist",558,"Namur","c.1826","Gouache and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 143 x 193 mm","143","193",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D20/D20309_8.jpg","http://www.tate.org.uk/art/artworks/turner-namur-d20309"
"2418",98651,"AR00680","Beuys, Joseph","artist",747,"A Party for Animals","1969","Ink, oil paint and stamp on lithograph on paper","ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008","1969",2009,"support: 526 x 188 mm","526","188",NA,"mm","","© DACS, 2014","http://www.tate.org.uk/art/images/work/AR/AR00680_8.jpg","http://www.tate.org.uk/art/artworks/beuys-a-party-for-animals-ar00680"
"17026",41586,"D14223","Turner, Joseph Mallord William","artist",558,"?View of the Contrada di Posta, Turin","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 111 x 186 mm","111","186",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14223_8.jpg","http://www.tate.org.uk/art/artworks/turner-view-of-the-contrada-di-posta-turin-d14223"
"26266",50878,"D23541","Turner, Joseph Mallord William","artist",558,"Castle among Trees Overlooking the Sea","?1832","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1832",1856,"support: 114 x 187 mm","114","187",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23541_8.jpg","http://www.tate.org.uk/art/artworks/turner-castle-among-trees-overlooking-the-sea-d23541"
"24352",48964,"D21622","Turner, Joseph Mallord William","artist",558,"Views of ?Siena","1828","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 148 x 104 mm","148","104",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21622_8.jpg","http://www.tate.org.uk/art/artworks/turner-views-of-siena-d21622"
"8488",33027,"D05635","Turner, Joseph Mallord William","artist",558,"Pevensey Castle; the South and East Walls","c.1806–10","Chalk and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1806",1856,"support: 128 x 201 mm","128","201",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D05/D05635_8.jpg","http://www.tate.org.uk/art/artworks/turner-pevensey-castle-the-south-and-east-walls-d05635"
"18201",42761,"D15405","Turner, Joseph Mallord William","artist",558,"The North End of the Forum, Rome","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D15/D15405_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-north-end-of-the-forum-rome-d15405"
"39250",63917,"D40150","Turner, Joseph Mallord William","artist",558,"Offset: Fire at the Grand Storehouse of the Tower of London","date not known","Watercolour offset on paper","Accepted by the nation as part of the Turner Bequest 1856","",1856,"support: 235 x 325 mm","235","325",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D40/D40150_8.jpg","http://www.tate.org.uk/art/artworks/turner-offset-fire-at-the-grand-storehouse-of-the-tower-of-london-d40150"
"46191",10092,"P02840","Moore, Henry, OM, CH","artist",1659,"Rock Head","1981, published 1983","Lithograph on paper","Presented by the Henry Moore Foundation 1986","1981",1986,"image: 252 x 226 mm","252","226",NA,"mm","","© The Henry Moore Foundation; All rights reserved DACS 2014","http://www.tate.org.uk/art/images/work/P/P02/P02840_8.jpg","http://www.tate.org.uk/art/artworks/moore-rock-head-p02840"
"40108",64780,"D41034","Turner, Joseph Mallord William","artist",558,"[title not known]","1837–41","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1837",1856,"support: 161 x 97 mm","161","97",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D41/D41034_8.jpg","http://www.tate.org.uk/art/artworks/turner-title-not-known-d41034"
"20575",45141,"D17786","Turner, Joseph Mallord William","artist",558,"Buildings on Bank of River","1823–4","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1823",1856,"support: 111 x 185 mm","111","185",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D17/D17786_8.jpg","http://www.tate.org.uk/art/artworks/turner-buildings-on-bank-of-river-d17786"
"28331",52954,"D25617","Turner, Joseph Mallord William","artist",558,"Penrith Castle","1831","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1831",1856,"support: 74 x 94 mm","74","94",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D25/D25617_8.jpg","http://www.tate.org.uk/art/artworks/turner-penrith-castle-d25617"
"16243",40799,"D13431","Turner, Joseph Mallord William","artist",558,"Spires of Edinburgh","1818","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1818",1856,"support: 99 x 159 mm","99","159",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D13/D13431_8.jpg","http://www.tate.org.uk/art/artworks/turner-spires-of-edinburgh-d13431"
"60915",17265,"T05487","Kapoor, Anish","artist",1384,"Untitled","1987","Gouache on paper","Presented by the Weltkunst Foundation 1988","1987",1988,"support: 385 x 302 mm frame: 494 x 411 x 30 mm","385","302",NA,"mm","","© Anish Kapoor","http://www.tate.org.uk/art/images/work/T/T05/T05487_8.jpg","http://www.tate.org.uk/art/artworks/kapoor-untitled-t05487"
"26694",51306,"D23969","Turner, Joseph Mallord William","artist",558,"Ruins of Château Gaillard","1832","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1832",1856,"support: 174 x 117 mm","174","117",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23969_8.jpg","http://www.tate.org.uk/art/artworks/turner-ruins-of-chateau-gaillard-d23969"
"40339",65014,"D41316","Turner, Joseph Mallord William","artist",558,"Ilfracombe from below Capstone Hill","1811","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1811",1856,"support: 140 x 215 mm","140","215",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D41/D41316_8.jpg","http://www.tate.org.uk/art/artworks/turner-ilfracombe-from-below-capstone-hill-d41316"
"63821",24168,"T08455","Farington, Joseph","artist",176,"[title not known]","c.1789","Graphite and watercolour on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","1789",1997,"support: 279 x 381 mm","279","381",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T08/T08455_8.jpg","http://www.tate.org.uk/art/artworks/farington-title-not-known-t08455"
"36422",61065,"D33896","Turner, Joseph Mallord William","artist",558,"Mountains, with Castle. Arbough - Andegole [Turner]","c.1830–41","Chalk and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 143 x 196 mm","143","196",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D33/D33896_8.jpg","http://www.tate.org.uk/art/artworks/turner-mountains-with-castle-arbough-andegole-turner-d33896"
"25884",50496,"D23159","Turner, Joseph Mallord William","artist",558,"Nantes: The Walls of the Château","1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 170 x 110 mm","170","110",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23159_8.jpg","http://www.tate.org.uk/art/artworks/turner-nantes-the-walls-of-the-chateau-d23159"
"66860",25386,"T11494","Cotman, John Sell","artist",116,"Millbank on the Thames","date not known","Etching on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"image: 155 x 245 mm","155","245",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T11/T11494_8.jpg","http://www.tate.org.uk/art/artworks/cotman-millbank-on-the-thames-t11494"
"35415",60055,"D32867","Turner, Joseph Mallord William","artist",558,"River Scene","c.1837–41","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1837",1856,"support: 90 x 113 mm","90","113",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D32/D32867_8.jpg","http://www.tate.org.uk/art/artworks/turner-river-scene-d32867"
"60468",16602,"T05040","Kolár, Jirí","artist",2209,"They Waver, but their Eyes Are Gimlet-Sharp and Gleam Like Holes where Water Sleeps at Night","1972","Photograph and lithograph on paper","Presented by Mr and Mrs Rodney Capstick-Dale 1988","1972",1988,"image: 265 x 390 mm","265","390",NA,"mm","date inscribed","","","http://www.tate.org.uk/art/artworks/kolar-they-waver-but-their-eyes-are-gimlet-sharp-and-gleam-like-holes-where-water-sleeps-t05040"
"68295",100851,"T12959","Gamarra, Sandra","artist",11460,"Page 70","2006","Oil paint on canvas","Purchased with funds provided by the American Patrons of Tate, courtesy of the Latin American Acquisitions Committee 2009 ","2006",2009,"support: 1950 x 1620 mm","1950","1620",NA,"mm","","© Sandra Gamarra Heshiki","http://www.tate.org.uk/art/images/work/T/T12/T12959_8.jpg","http://www.tate.org.uk/art/artworks/gamarra-page-70-t12959"
"65509",22853,"T10143","Flaxman, John","artist",186,"Design for the Setting of a Classical Statue; and a Farewell Scene, Figures in Classical Costume. ?Sophocles","date not known","Graphite on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support, secondary: 225 x 168 mm support: 210 x 147 mm","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T10/T10143_8.jpg","http://www.tate.org.uk/art/artworks/flaxman-design-for-the-setting-of-a-classical-statue-and-a-farewell-scene-figures-in-t10143"
"51490",80024,"P12148","Mitchell, Joan","artist",6461,"Sides of a River II","1981","Lithograph on paper","Presented by Tyler Graphics Ltd in honour of Pat Gilmour, Tate Print Department 1974-7, 2004","1981",2004,"image: 1013 x 750 mm","1013","750",NA,"mm","","© Estate of Joan Mitchell","http://www.tate.org.uk/art/images/work/P/P12/P12148_8.jpg","http://www.tate.org.uk/art/artworks/mitchell-sides-of-a-river-ii-p12148"
"67266",84095,"T11904","Deller, Jeremy","artist",3034,"Souped Up Tea Urn & Teapot (Dartford 2004)","2004","Table, stainless steel tea urn, stainless steel teapot, 12 ceramic tea mugs and wood tray","Purchased using funds provided by the 2004 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2005","2004",2004,"1290 x 1220 x 700 mm","1220","700",NA,"mm","","© Jeremy Deller & Alan Kane","http://www.tate.org.uk/art/images/work/T/T11/T11904_8.jpg","http://www.tate.org.uk/art/artworks/deller-kane-souped-up-tea-urn-teapot-dartford-2004-t11904"
"45190",12825,"P01838","Roth, Dieter","artist",1870,"Düsseldorf","1970","Screenprint on paper","Presented by Richard Hamilton 1978","1970",1978,"image: 552 x 768 mm","552","768",NA,"mm","","© The estate of Dieter Roth","http://www.tate.org.uk/art/images/work/P/P01/P01838_8.jpg","http://www.tate.org.uk/art/artworks/roth-dusseldorf-p01838"
"7606",32144,"D04751","Turner, Joseph Mallord William","artist",558,"Ligny-en-Barrois","1802","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 154 x 240 mm","154","240",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04751_8.jpg","http://www.tate.org.uk/art/artworks/turner-ligny-en-barrois-d04751"
"13200",37753,"D10377","Turner, Joseph Mallord William","artist",558,"Hastings from the Stade, and Details of Buildings","c.1816–18","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 129 x 205 mm","129","205",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D10/D10377_8.jpg","http://www.tate.org.uk/art/artworks/turner-hastings-from-the-stade-and-details-of-buildings-d10377"
"19048",43613,"D16257","Turner, Joseph Mallord William","artist",558,"Aventine Hill from the River Tiber, Rome","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 114 x 189 mm","114","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D16/D16257_8.jpg","http://www.tate.org.uk/art/artworks/turner-aventine-hill-from-the-river-tiber-rome-d16257"
"32673",57308,"D30048","Turner, Joseph Mallord William","artist",558,"(1) Spielberg; (2) Enns; (3) Spielberg; (4) Mauthausen","1840","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1840",1856,"support: 198 x 127 mm","198","127",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D30/D30048_8.jpg","http://www.tate.org.uk/art/artworks/turner-1-spielberg-2-enns-3-spielberg-4-mauthausen-d30048"
"67758",89517,"T12414","Oiticica, Hélio","artist",7730,"Tropicália, Penetrables PN 2 ‘Purity is a myth’ and PN 3 ‘Imagetical’","1966–7","Wooden frames, cotton fabric, plastic sheets, carpet, nylon fabric, patchouli root, cinnamon sticks, sand, plants, metal","Purchased with assistance from the American Fund for the Tate Gallery, the Latin American Acquisitions Committee, Tate Members and the Art Fund 2007","1966",2007,"displayed dimensions: 2100 x 12100 x 40 mm","","",NA,"","","© Projeto Hélio Oiticica","http://www.tate.org.uk/art/images/work/T/T12/T12414_8.jpg","http://www.tate.org.uk/art/artworks/oiticica-tropicalia-penetrables-pn-2-purity-is-a-myth-and-pn-3-imagetical-t12414"
"67065",25932,"T11699","British (?) School","artist",2638,"[title not known]","date not known","Woodcut on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"image: 65 x 85 mm","65","85",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T11/T11699_8.jpg","http://www.tate.org.uk/art/artworks/british-school-title-not-known-t11699"
"49551",5924,"P07518","Head, Tim","artist",1259,"Dislocations","1980","Photograph, colour, on paper","Purchased 1981","1980",1981,"image: 384 x 518 mm","384","518",NA,"mm","","© Tim Head","http://www.tate.org.uk/art/images/work/P/P07/P07518_8.jpg","http://www.tate.org.uk/art/artworks/head-dislocations-p07518"
"14660",39213,"D11839","Turner, Joseph Mallord William","artist",558,"Blank","c.1816–18","","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 149 x 93 mm","149","93",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d11839"
"64249",22846,"T08883","Farington, Joseph","artist",176,"The Rose & Crown, Broxburn","1787","Graphite, watercolour and ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","1787",1997,"support: 248 x 204 mm","248","204",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/T/T08/T08883_8.jpg","http://www.tate.org.uk/art/artworks/farington-the-rose-crown-broxburn-t08883"
"34856",59496,"D32282","Turner, Joseph Mallord William","artist",558,"Mountains. Aubin or St Aubin [Turner] (?St Anton, on East Slope of the Arlberg)","1840","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1840",1856,"support: 149 x 89 mm","149","89",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D32/D32282_8.jpg","http://www.tate.org.uk/art/artworks/turner-mountains-aubin-or-st-aubin-turner-st-anton-on-east-slope-of-the-arlberg-d32282"
"48837",16382,"P06620","Wiseman, Albany","artist",2157,"Fitzroy Square","1974","Lithograph on paper","Presented by Curwen Studio through the Institute of Contemporary Prints 1975","1974",1975,"image: 422 x 591 mm","422","591",NA,"mm","","","","http://www.tate.org.uk/art/artworks/wiseman-fitzroy-square-p06620"
"26676",51288,"D23951","Turner, Joseph Mallord William","artist",558,"Abbey and Castle","1832","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1832",1856,"support: 174 x 117 mm","174","117",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23951_8.jpg","http://www.tate.org.uk/art/artworks/turner-abbey-and-castle-d23951"
